album,artists,available_markets,disc_number,duration_ms_x,explicit,external_ids,external_urls,href,id,is_local,name,popularity,preview_url,track_number,type_x,uri,like,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type_y,track_href,analysis_url,duration_ms_y,time_signature
Slothin',Snaer.,"['AD', 'AE', 'AG', 'AL', 'AM', 'AO', 'AR', 'AT', 'AU', 'AZ', 'BA', 'BB', 'BD', 'BE', 'BF', 'BG', 'BH', 'BI', 'BJ', 'BN', 'BO', 'BR', 'BS', 'BT', 'BW', 'BY', 'BZ', 'CA', 'CH', 'CI', 'CL', 'CM', 'CO', 'CR', 'CV', 'CW', 'CY', 'CZ', 'DE', 'DJ', 'DK', 'DM', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FJ', 'FM', 'FR', 'GA', 'GB', 'GD', 'GE', 'GH', 'GM', 'GN', 'GQ', 'GR', 'GT', 'GW', 'GY', 'HK', 'HN', 'HR', 'HT', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JM', 'JO', 'JP', 'KE', 'KG', 'KH', 'KI', 'KM', 'KN', 'KR', 'KW', 'KZ', 'LA', 'LB', 'LC', 'LI', 'LK', 'LR', 'LS', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MG', 'MH', 'MK', 'ML', 'MN', 'MO', 'MR', 'MT', 'MU', 'MV', 'MW', 'MX', 'MY', 'MZ', 'NA', 'NE', 'NG', 'NI', 'NL', 'NO', 'NP', 'NR', 'NZ', 'OM', 'PA', 'PE', 'PG', 'PH', 'PK', 'PL', 'PS', 'PT', 'PW', 'PY', 'QA', 'RO', 'RS', 'RU', 'RW', 'SA', 'SB', 'SC', 'SE', 'SG', 'SI', 'SK', 'SL', 'SM', 'SN', 'SR', 'ST', 'SV', 'SZ', 'TD', 'TG', 'TH', 'TL', 'TN', 'TO', 'TR', 'TT', 'TV', 'TW', 'TZ', 'UA', 'UG', 'US', 'UY', 'UZ', 'VC', 'VN', 'VU', 'WS', 'XK', 'ZA', 'ZM', 'ZW']",1,166000,False,{'isrc': 'QZK6P1927741'},{'spotify': 'https://open.spotify.com/track/6BAUkR93Y0Q2SVjc96AS92'},https://api.spotify.com/v1/tracks/6BAUkR93Y0Q2SVjc96AS92,6BAUkR93Y0Q2SVjc96AS92,False,Slothin',53,https://p.scdn.co/mp3-preview/a70ca54c85fdd27de4da44e1e4a0981cf9c65ce0?cid=527cc027556e4e75bde9716a7a0562a5,1,track,spotify:track:6BAUkR93Y0Q2SVjc96AS92,1,0.848,0.124,6,-16.637,0,0.109,0.616,0.775,0.0886,0.441,126.949,audio_features,https://api.spotify.com/v1/tracks/6BAUkR93Y0Q2SVjc96AS92,https://api.spotify.com/v1/audio-analysis/6BAUkR93Y0Q2SVjc96AS92,166000,4
"Seeds, Roots & Fruits",Emapea,"['AD', 'AE', 'AG', 'AL', 'AM', 'AO', 'AR', 'AT', 'AU', 'AZ', 'BA', 'BB', 'BD', 'BE', 'BF', 'BG', 'BH', 'BI', 'BJ', 'BN', 'BO', 'BR', 'BS', 'BT', 'BW', 'BY', 'BZ', 'CA', 'CH', 'CI', 'CL', 'CM', 'CO', 'CR', 'CV', 'CW', 'CY', 'CZ', 'DE', 'DJ', 'DK', 'DM', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FJ', 'FM', 'FR', 'GA', 'GB', 'GD', 'GE', 'GH', 'GM', 'GN', 'GQ', 'GR', 'GT', 'GW', 'GY', 'HK', 'HN', 'HR', 'HT', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JM', 'JO', 'JP', 'KE', 'KG', 'KH', 'KI', 'KM', 'KN', 'KR', 'KW', 'KZ', 'LA', 'LB', 'LC', 'LI', 'LK', 'LR', 'LS', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MG', 'MH', 'MK', 'ML', 'MN', 'MO', 'MR', 'MT', 'MU', 'MV', 'MW', 'MX', 'MY', 'MZ', 'NA', 'NE', 'NG', 'NI', 'NL', 'NO', 'NP', 'NR', 'NZ', 'OM', 'PA', 'PE', 'PG', 'PH', 'PK', 'PL', 'PS', 'PT', 'PW', 'PY', 'QA', 'RO', 'RS', 'RU', 'RW', 'SA', 'SB', 'SC', 'SE', 'SG', 'SI', 'SK', 'SL', 'SM', 'SN', 'SR', 'ST', 'SV', 'SZ', 'TD', 'TG', 'TH', 'TL', 'TN', 'TO', 'TR', 'TT', 'TV', 'TW', 'TZ', 'UA', 'UG', 'US', 'UY', 'UZ', 'VC', 'VN', 'VU', 'WS', 'XK', 'ZA', 'ZM', 'ZW']",1,180737,False,{'isrc': 'USEAX1602818'},{'spotify': 'https://open.spotify.com/track/6AAIzRpfYHrgIA3R20FAFu'},https://api.spotify.com/v1/tracks/6AAIzRpfYHrgIA3R20FAFu,6AAIzRpfYHrgIA3R20FAFu,False,Jazzy,48,https://p.scdn.co/mp3-preview/779399260ab2dbc0fc46ff90ae05da4ecba48fc1?cid=527cc027556e4e75bde9716a7a0562a5,3,track,spotify:track:6AAIzRpfYHrgIA3R20FAFu,1,0.831,0.266,4,-7.985,0,0.0942,0.44,0.366,0.169,0.322,86.013,audio_features,https://api.spotify.com/v1/tracks/6AAIzRpfYHrgIA3R20FAFu,https://api.spotify.com/v1/audio-analysis/6AAIzRpfYHrgIA3R20FAFu,180737,4
Distinct Ideas,Taiko,"['AD', 'AE', 'AG', 'AL', 'AM', 'AO', 'AR', 'AT', 'AU', 'AZ', 'BA', 'BB', 'BD', 'BE', 'BF', 'BG', 'BH', 'BI', 'BJ', 'BN', 'BO', 'BR', 'BS', 'BT', 'BW', 'BY', 'BZ', 'CA', 'CH', 'CI', 'CL', 'CM', 'CO', 'CR', 'CV', 'CW', 'CY', 'CZ', 'DE', 'DJ', 'DK', 'DM', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FJ', 'FM', 'FR', 'GA', 'GB', 'GD', 'GE', 'GH', 'GM', 'GN', 'GQ', 'GR', 'GT', 'GW', 'GY', 'HK', 'HN', 'HR', 'HT', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JM', 'JO', 'JP', 'KE', 'KG', 'KH', 'KI', 'KM', 'KN', 'KR', 'KW', 'KZ', 'LA', 'LB', 'LC', 'LI', 'LK', 'LR', 'LS', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MG', 'MH', 'MK', 'ML', 'MN', 'MO', 'MR', 'MT', 'MU', 'MV', 'MW', 'MX', 'MY', 'MZ', 'NA', 'NE', 'NG', 'NI', 'NL', 'NO', 'NP', 'NR', 'NZ', 'OM', 'PA', 'PE', 'PG', 'PH', 'PK', 'PL', 'PS', 'PT', 'PW', 'PY', 'QA', 'RO', 'RS', 'RU', 'RW', 'SA', 'SB', 'SC', 'SE', 'SG', 'SI', 'SK', 'SL', 'SM', 'SN', 'SR', 'ST', 'SV', 'SZ', 'TD', 'TG', 'TH', 'TL', 'TN', 'TO', 'TR', 'TT', 'TV', 'TW', 'TZ', 'UA', 'UG', 'US', 'UY', 'UZ', 'VC', 'VN', 'VU', 'WS', 'XK', 'ZA', 'ZM', 'ZW']",1,153044,False,{'isrc': 'UST8K1715400'},{'spotify': 'https://open.spotify.com/track/1lu6GdIlxjD2PTFfJ7QliO'},https://api.spotify.com/v1/tracks/1lu6GdIlxjD2PTFfJ7QliO,1lu6GdIlxjD2PTFfJ7QliO,False,Sunday,14,https://p.scdn.co/mp3-preview/1e4c94bbd62bdc235ef23a985a075a590a84284c?cid=527cc027556e4e75bde9716a7a0562a5,5,track,spotify:track:1lu6GdIlxjD2PTFfJ7QliO,1,0.787,0.305,11,-12.612,0,0.194,0.452,0.781,0.0776,0.577,180.047,audio_features,https://api.spotify.com/v1/tracks/1lu6GdIlxjD2PTFfJ7QliO,https://api.spotify.com/v1/audio-analysis/1lu6GdIlxjD2PTFfJ7QliO,153045,4
Atlas,Ã˜DYSSEE,"['AD', 'AE', 'AG', 'AL', 'AM', 'AO', 'AR', 'AT', 'AU', 'AZ', 'BA', 'BB', 'BD', 'BE', 'BF', 'BG', 'BH', 'BI', 'BJ', 'BN', 'BO', 'BR', 'BS', 'BT', 'BW', 'BY', 'BZ', 'CA', 'CH', 'CI', 'CL', 'CM', 'CO', 'CR', 'CV', 'CY', 'CZ', 'DE', 'DJ', 'DK', 'DM', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FJ', 'FM', 'FR', 'GA', 'GB', 'GD', 'GE', 'GH', 'GM', 'GN', 'GQ', 'GR', 'GT', 'GW', 'GY', 'HK', 'HN', 'HR', 'HT', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JM', 'JO', 'JP', 'KE', 'KG', 'KH', 'KI', 'KM', 'KN', 'KR', 'KW', 'KZ', 'LA', 'LB', 'LC', 'LI', 'LK', 'LR', 'LS', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MG', 'MH', 'MK', 'ML', 'MN', 'MO', 'MR', 'MT', 'MU', 'MV', 'MW', 'MX', 'MY', 'MZ', 'NA', 'NE', 'NG', 'NI', 'NL', 'NO', 'NP', 'NR', 'NZ', 'OM', 'PA', 'PE', 'PG', 'PH', 'PK', 'PL', 'PS', 'PT', 'PW', 'PY', 'QA', 'RO', 'RS', 'RU', 'RW', 'SA', 'SB', 'SC', 'SE', 'SG', 'SI', 'SK', 'SL', 'SM', 'SN', 'SR', 'ST', 'SV', 'SZ', 'TD', 'TG', 'TH', 'TL', 'TN', 'TO', 'TR', 'TT', 'TV', 'TW', 'TZ', 'UA', 'UG', 'US', 'UY', 'UZ', 'VC', 'VN', 'VU', 'WS', 'XK', 'ZA', 'ZM', 'ZW']",1,87919,False,{'isrc': 'CH6541835335'},{'spotify': 'https://open.spotify.com/track/1hOA6mHncd5IDa3z7mVa1r'},https://api.spotify.com/v1/tracks/1hOA6mHncd5IDa3z7mVa1r,1hOA6mHncd5IDa3z7mVa1r,False,Poolside,21,https://p.scdn.co/mp3-preview/ba628008cec5ed7f0c79cb10226b2eddf6bbe4ea?cid=527cc027556e4e75bde9716a7a0562a5,15,track,spotify:track:1hOA6mHncd5IDa3z7mVa1r,1,0.723,0.725,9,-4.61,0,0.0368,0.212,0.02,0.103,0.547,87.405,audio_features,https://api.spotify.com/v1/tracks/1hOA6mHncd5IDa3z7mVa1r,https://api.spotify.com/v1/audio-analysis/1hOA6mHncd5IDa3z7mVa1r,87919,4
The Scenic Route,Brock Berrigan,"['AD', 'AE', 'AG', 'AL', 'AM', 'AO', 'AR', 'AT', 'AU', 'AZ', 'BA', 'BB', 'BD', 'BE', 'BF', 'BG', 'BH', 'BI', 'BJ', 'BN', 'BO', 'BR', 'BS', 'BT', 'BW', 'BY', 'BZ', 'CA', 'CH', 'CI', 'CL', 'CM', 'CO', 'CR', 'CV', 'CW', 'CY', 'CZ', 'DE', 'DJ', 'DK', 'DM', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FJ', 'FM', 'FR', 'GA', 'GB', 'GD', 'GE', 'GH', 'GM', 'GN', 'GQ', 'GR', 'GT', 'GW', 'GY', 'HK', 'HN', 'HR', 'HT', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JM', 'JO', 'JP', 'KE', 'KG', 'KH', 'KI', 'KM', 'KN', 'KR', 'KW', 'KZ', 'LA', 'LB', 'LC', 'LI', 'LK', 'LR', 'LS', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MG', 'MH', 'MK', 'ML', 'MN', 'MO', 'MR', 'MT', 'MU', 'MV', 'MW', 'MX', 'MY', 'MZ', 'NA', 'NE', 'NG', 'NI', 'NL', 'NO', 'NP', 'NR', 'NZ', 'OM', 'PA', 'PE', 'PG', 'PH', 'PK', 'PL', 'PS', 'PT', 'PW', 'PY', 'QA', 'RO', 'RS', 'RU', 'RW', 'SA', 'SB', 'SC', 'SE', 'SG', 'SI', 'SK', 'SL', 'SM', 'SN', 'SR', 'ST', 'SV', 'SZ', 'TD', 'TG', 'TH', 'TL', 'TN', 'TO', 'TR', 'TT', 'TV', 'TW', 'TZ', 'UA', 'UG', 'US', 'UY', 'UZ', 'VC', 'VN', 'VU', 'WS', 'XK', 'ZA', 'ZM', 'ZW']",1,105974,False,{'isrc': 'QZFZ21974435'},{'spotify': 'https://open.spotify.com/track/4qlbHB70c6OVykqeQHfnvM'},https://api.spotify.com/v1/tracks/4qlbHB70c6OVykqeQHfnvM,4qlbHB70c6OVykqeQHfnvM,False,Snow Canyon,22,https://p.scdn.co/mp3-preview/71f0eec50a370944cf43af106be0f5cd13db7e73?cid=527cc027556e4e75bde9716a7a0562a5,6,track,spotify:track:4qlbHB70c6OVykqeQHfnvM,1,0.412,0.373,9,-7.128,0,0.313,0.0494,0.783,0.117,0.357,166.956,audio_features,https://api.spotify.com/v1/tracks/4qlbHB70c6OVykqeQHfnvM,https://api.spotify.com/v1/audio-analysis/4qlbHB70c6OVykqeQHfnvM,105974,3
just friends,"['potsu', 'Chance Thrash']",[],1,190112,False,{'isrc': 'QM42K1870178'},{'spotify': 'https://open.spotify.com/track/2lN0R35eOsdqBnFaQ5k0rM'},https://api.spotify.com/v1/tracks/2lN0R35eOsdqBnFaQ5k0rM,2lN0R35eOsdqBnFaQ5k0rM,False,take me there,0,,9,track,spotify:track:2lN0R35eOsdqBnFaQ5k0rM,1,0.692,0.448,0,-13.417,1,0.0286,0.772,0.87,0.347,0.533,102.013,audio_features,https://api.spotify.com/v1/tracks/2lN0R35eOsdqBnFaQ5k0rM,https://api.spotify.com/v1/audio-analysis/2lN0R35eOsdqBnFaQ5k0rM,190112,4
radio.wavs//volume.4,Hanzo,[],1,74501,False,{'isrc': 'QM42K1732337'},{'spotify': 'https://open.spotify.com/track/5F6sE6Rwg5XI4TwTmvoZG1'},https://api.spotify.com/v1/tracks/5F6sE6Rwg5XI4TwTmvoZG1,5F6sE6Rwg5XI4TwTmvoZG1,False,gt+cb,0,,5,track,spotify:track:5F6sE6Rwg5XI4TwTmvoZG1,1,0.578,0.379,1,-13.502,1,0.486,0.843,0.916,0.11,0.489,168.576,audio_features,https://api.spotify.com/v1/tracks/5F6sE6Rwg5XI4TwTmvoZG1,https://api.spotify.com/v1/audio-analysis/5F6sE6Rwg5XI4TwTmvoZG1,74501,4
The Narrows,Brock Berrigan,"['AD', 'AE', 'AG', 'AM', 'AO', 'AR', 'AT', 'AU', 'AZ', 'BB', 'BD', 'BE', 'BF', 'BG', 'BH', 'BI', 'BJ', 'BN', 'BO', 'BR', 'BS', 'BT', 'BW', 'BZ', 'CA', 'CH', 'CL', 'CM', 'CO', 'CR', 'CV', 'CW', 'CY', 'CZ', 'DE', 'DJ', 'DK', 'DM', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FJ', 'FM', 'FR', 'GA', 'GB', 'GD', 'GE', 'GH', 'GM', 'GN', 'GQ', 'GR', 'GT', 'GW', 'GY', 'HK', 'HN', 'HT', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JM', 'JO', 'JP', 'KE', 'KG', 'KH', 'KI', 'KM', 'KN', 'KR', 'KW', 'KZ', 'LA', 'LB', 'LC', 'LI', 'LK', 'LS', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'MG', 'MH', 'ML', 'MN', 'MO', 'MR', 'MT', 'MU', 'MV', 'MW', 'MX', 'MY', 'MZ', 'NA', 'NE', 'NG', 'NI', 'NL', 'NO', 'NP', 'NR', 'NZ', 'OM', 'PA', 'PE', 'PG', 'PH', 'PK', 'PL', 'PS', 'PT', 'PW', 'PY', 'QA', 'RO', 'RU', 'RW', 'SA', 'SB', 'SC', 'SE', 'SG', 'SI', 'SK', 'SL', 'SM', 'SN', 'SR', 'ST', 'SV', 'SZ', 'TD', 'TG', 'TH', 'TL', 'TN', 'TO', 'TR', 'TT', 'TV', 'TW', 'TZ', 'UA', 'UG', 'US', 'UY', 'UZ', 'VC', 'VN', 'VU', 'WS', 'ZA', 'ZM']",1,137101,False,{'isrc': 'TCADN1852619'},{'spotify': 'https://open.spotify.com/track/2nw9asAKlCdUf8LTJxHaXk'},https://api.spotify.com/v1/tracks/2nw9asAKlCdUf8LTJxHaXk,2nw9asAKlCdUf8LTJxHaXk,False,Hotwire,36,https://p.scdn.co/mp3-preview/5e79de675af3e30cd98409101bfa59667d4387c1?cid=527cc027556e4e75bde9716a7a0562a5,3,track,spotify:track:2nw9asAKlCdUf8LTJxHaXk,1,0.685,0.783,10,-5.538,0,0.0835,0.229,0.768,0.0887,0.854,91.068,audio_features,https://api.spotify.com/v1/tracks/2nw9asAKlCdUf8LTJxHaXk,https://api.spotify.com/v1/audio-analysis/2nw9asAKlCdUf8LTJxHaXk,137102,4
Zoning Out Vol. 2,Emapea,"['AD', 'AE', 'AG', 'AL', 'AM', 'AO', 'AR', 'AT', 'AU', 'AZ', 'BA', 'BB', 'BD', 'BE', 'BF', 'BG', 'BH', 'BI', 'BJ', 'BN', 'BO', 'BR', 'BS', 'BT', 'BW', 'BY', 'BZ', 'CA', 'CH', 'CI', 'CL', 'CM', 'CO', 'CR', 'CV', 'CW', 'CY', 'CZ', 'DE', 'DJ', 'DK', 'DM', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FJ', 'FM', 'FR', 'GA', 'GB', 'GD', 'GE', 'GH', 'GM', 'GN', 'GQ', 'GR', 'GT', 'GW', 'GY', 'HK', 'HN', 'HR', 'HT', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JM', 'JO', 'JP', 'KE', 'KG', 'KH', 'KI', 'KM', 'KN', 'KR', 'KW', 'KZ', 'LA', 'LB', 'LC', 'LI', 'LK', 'LR', 'LS', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MG', 'MH', 'MK', 'ML', 'MN', 'MO', 'MR', 'MT', 'MU', 'MV', 'MW', 'MX', 'MY', 'MZ', 'NA', 'NE', 'NG', 'NI', 'NL', 'NO', 'NP', 'NR', 'NZ', 'OM', 'PA', 'PE', 'PG', 'PH', 'PK', 'PL', 'PS', 'PT', 'PW', 'PY', 'QA', 'RO', 'RS', 'RU', 'RW', 'SA', 'SB', 'SC', 'SE', 'SG', 'SI', 'SK', 'SL', 'SM', 'SN', 'SR', 'ST', 'SV', 'SZ', 'TD', 'TG', 'TH', 'TL', 'TN', 'TO', 'TR', 'TT', 'TV', 'TW', 'TZ', 'UA', 'UG', 'US', 'UY', 'UZ', 'VC', 'VN', 'VU', 'WS', 'XK', 'ZA', 'ZM', 'ZW']",1,121487,False,{'isrc': 'USEAX1900043'},{'spotify': 'https://open.spotify.com/track/0sfn4rjGzd2mdQd4Bs6umW'},https://api.spotify.com/v1/tracks/0sfn4rjGzd2mdQd4Bs6umW,0sfn4rjGzd2mdQd4Bs6umW,False,Flip It Back,19,https://p.scdn.co/mp3-preview/10ef4dc6e783948eec965d13417b64bccc31639a?cid=527cc027556e4e75bde9716a7a0562a5,3,track,spotify:track:0sfn4rjGzd2mdQd4Bs6umW,1,0.779,0.673,10,-6.751,0,0.061,0.00743,0.749,0.102,0.334,93.436,audio_features,https://api.spotify.com/v1/tracks/0sfn4rjGzd2mdQd4Bs6umW,https://api.spotify.com/v1/audio-analysis/0sfn4rjGzd2mdQd4Bs6umW,121488,4
Peach,Sumwun,"['AD', 'AE', 'AG', 'AL', 'AM', 'AO', 'AR', 'AT', 'AU', 'AZ', 'BA', 'BB', 'BD', 'BE', 'BF', 'BG', 'BH', 'BI', 'BJ', 'BN', 'BO', 'BR', 'BS', 'BT', 'BW', 'BY', 'BZ', 'CA', 'CH', 'CI', 'CL', 'CM', 'CO', 'CR', 'CV', 'CW', 'CY', 'CZ', 'DE', 'DJ', 'DK', 'DM', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FJ', 'FM', 'FR', 'GA', 'GB', 'GD', 'GE', 'GH', 'GM', 'GN', 'GQ', 'GR', 'GT', 'GW', 'GY', 'HK', 'HN', 'HR', 'HT', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JM', 'JO', 'JP', 'KE', 'KG', 'KH', 'KI', 'KM', 'KN', 'KR', 'KW', 'KZ', 'LA', 'LB', 'LC', 'LI', 'LK', 'LR', 'LS', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MG', 'MH', 'MK', 'ML', 'MN', 'MO', 'MR', 'MT', 'MU', 'MV', 'MW', 'MX', 'MY', 'MZ', 'NA', 'NE', 'NG', 'NI', 'NL', 'NO', 'NP', 'NR', 'NZ', 'OM', 'PA', 'PE', 'PG', 'PH', 'PK', 'PL', 'PS', 'PT', 'PW', 'PY', 'QA', 'RO', 'RS', 'RU', 'RW', 'SA', 'SB', 'SC', 'SE', 'SG', 'SI', 'SK', 'SL', 'SM', 'SN', 'SR', 'ST', 'SV', 'SZ', 'TD', 'TG', 'TH', 'TL', 'TN', 'TO', 'TR', 'TT', 'TV', 'TW', 'TZ', 'UA', 'UG', 'US', 'UY', 'UZ', 'VC', 'VN', 'VU', 'WS', 'XK', 'ZA', 'ZM', 'ZW']",1,106068,False,{'isrc': 'QZES61820662'},{'spotify': 'https://open.spotify.com/track/0UWGAf9iVGgPoQYD5PE2HO'},https://api.spotify.com/v1/tracks/0UWGAf9iVGgPoQYD5PE2HO,0UWGAf9iVGgPoQYD5PE2HO,False,coast,4,https://p.scdn.co/mp3-preview/76044a5855422201063786ba3c5d63c641b80efa?cid=527cc027556e4e75bde9716a7a0562a5,4,track,spotify:track:0UWGAf9iVGgPoQYD5PE2HO,1,0.791,0.507,1,-10.469,1,0.171,0.589,0.767,0.127,0.723,172.01,audio_features,https://api.spotify.com/v1/tracks/0UWGAf9iVGgPoQYD5PE2HO,https://api.spotify.com/v1/audio-analysis/0UWGAf9iVGgPoQYD5PE2HO,106068,4
